24,0.0484,0.0139,0.3174,0.4529,0.2154,0.552,0.2143,0.6539,0.3249,0.8874,0.4878,1.4706,0.5797,2.5721,0.7093,4.5316,0.7837,7.615,0.8098,12.5849,0.8135,19.2214,0.7911,26.6733,0.7748,34.861
25,0.0385,0.0142,0.4623,0.6689,0.3975,0.8914,0.2698,1.0496,0.2757,1.4614,0.4284,2.6216,0.5223,4.6372,0.5193,7.8046,0.7363,12.292,0.8286,19.3743,0.8159,28.8053,0.7979,39.4987,0.7784,51.3365
26,0.0382,0.0141,0.4898,0.6915,0.4385,0.8673,0.436,1.0301,0.538,1.409,0.7355,2.6266,0.8122,4.8236,0.821,8.1096,0.8332,12.6944,0.8209,19.4696,0.8098,28.4759,0.7923,38.7274,0.7783,50.3241
27,0.042,0.0142,0.3168,0.6993,0.6057,1.1881,0.5839,1.4193,0.6275,1.8937,0.7432,3.1242,0.794,5.2526,0.8107,8.6,0.8228,13.6312,0.8195,21.2322,0.8192,31.6047,0.798,43.6507,0.7737,56.8657
28,0.0444,0.0141,0.3582,0.7234,0.4862,1.026,0.4035,1.1621,0.3975,1.4813,0.534,2.4367,0.6986,4.216,0.8099,7.3879,0.8345,12.2663,0.8345,19.7204,0.8318,29.9762,0.8084,41.7774,0.7791,54.3425
29,0.109,0.0141,0.2211,0.6648,0.4431,0.8801,0.2781,0.9108,0.2802,1.0517,0.3948,1.4484,0.5396,2.2938,0.7434,4.1186,0.804,7.417,0.8168,12.9096,0.8193,20.5028,0.8011,29.0756,0.7839,38.5718
30,0.0433,0.0141,0.3238,0.7154,0.401,1.0262,0.3676,1.1055,0.3166,1.2836,0.4052,1.8734,0.6025,3.1279,0.771,6.009,0.8022,10.8924,0.8253,18.4652,0.8274,28.8128,0.8039,40.6592,0.7836,53.5206
31,0.0399,0.0142,0.2865,0.8574,0.5633,1.23,0.4501,1.271,0.3928,1.4569,0.4729,2.1054,0.6579,3.5449,0.8023,6.6475,0.8307,11.8537,0.8298,19.896,0.8221,30.9172,0.8042,43.5664,0.7784,56.9837
32,0.0461,0.0142,0.3116,0.8526,0.4944,1.292,0.3706,1.34,0.3026,1.4996,0.3859,2.1609,0.5787,3.6186,0.7455,6.8508,0.804,12.1256,0.8187,20.0486,0.8236,31.0461,0.8119,43.689,0.7899,57.6381
33,0.0461,0.0141,0.2737,0.9464,0.497,1.3554,0.3224,1.3413,0.2787,1.4663,0.3455,1.8963,0.4423,2.9028,0.5958,5.3241,0.7214,9.6775,0.8205,17.2047,0.8352,28.3951,0.8161,41.4714,0.7909,55.1322
34,0.0498,0.0141,0.2826,0.9764,0.5516,1.3563,0.3736,1.3148,0.2742,1.3658,0.285,1.6067,0.381,2.1895,0.6068,3.9803,0.7634,7.8649,0.8258,14.9316,0.8195,24.6391,0.8119,35.7263,0.7961,47.8217
35,0.0396,0.0141,0.2997,0.9234,0.4145,1.1905,0.2558,1.172,0.2207,1.2967,0.2208,1.5325,0.3972,2.0581,0.5923,3.2056,0.7326,5.3632,0.7936,9.313,0.8077,14.7357,0.7967,20.7863,0.772,27.2766
36,0.1185,0.0141,0.2403,0.8099,0.4772,1.0631,0.2805,1.0649,0.2046,1.1871,0.2452,1.4992,0.2686,2.2073,0.4272,4.1889,0.6971,7.8956,0.8104,14.1396,0.8299,22.6971,0.8135,32.2146,0.7847,42.5409
