1380,36,43,117,36
1390,36,45,106,42
1400,36,26,115,22
1410,36,43,104,41
1420,36,40,106,37
1430,36,24,114,21
1440,36,43,100,43
1450,36,49,111,44
1460,36,33,113,29
1470,36,47,104,45
1480,36,27,101,26
1490,36,52,110,47
1500,36,30,100,30
1510,36,45,115,39
1520,36,40,115,34
1530,36,40,112,35
1540,36,33,95,34
1550,36,32,112,28
1560,36,42,88,47
1570,36,36,114,31
1580,36,32,113,28
1590,36,40,96,41
1600,36,30,93,32
1610,36,46,93,49
1620,36,21,100,21
1630,36,28,110,25
1640,36,30,113,26
1650,36,45,114,39
1660,36,52,112,46
1670,36,19,103,18
1680,36,36,84,42
1690,36,20,111,18
1700,36,37,105,35
1710,36,47,111,42
1720,36,41,109,37
1730,36,38,100,38
1740,36,32,102,31
1750,36,35,107,32
1760,36,37,113,32
1770,36,33,114,28
1780,36,43,107,40
1790,36,35,116,30
1800,36,27,100,27
1810,36,41,100,41
1820,36,60,107,56
1830,36,27,97,27
1840,36,46,112,41
1850,36,39,110,35
1860,36,43,106,40
1870,36,34,109,31
1880,36,35,106,33
1890,36,30,100,30
1900,36,26,113,23
1910,36,46,106,43
1920,36,51,97,52
1930,36,35,94,37
1940,36,38,106,35
1950,36,30,111,27
1960,36,41,105,39
1970,36,35,103,33
1980,36,31,101,30
1990,36,38,112,33
2000,36,24,112,21
2010,36,32,86,37
2020,36,34,117,29
2030,36,28,95,29
2040,36,40,102,39
2050,36,42,97,43
2060,36,38,113,33
2070,36,41,112,36
2080,36,26,101,25
2090,36,38,111,34
2100,36,40,108,37
2110,36,44,108,40
2120,36,38,105,36
2130,36,37,113,32
2140,36,30,100,30
2150,36,51,101,50
2160,36,52,115,45
2170,36,38,101,37
2180,36,40,116,34
2190,36,48,111,43
2200,36,34,82,41
2210,36,32,81,39
2220,50,22,97,22
2230,36,49,115,42
2240,36,34,114,29
2250,36,53,112,47
2260,36,33,112,29
2270,36,42,113,37
2280,36,20,95,21
2290,36,44,102,43
2300,36,40,111,36
2310,36,28,91,30
2320,36,34,101,33
2330,36,30,108,27
2340,36,43,101,42
2350,36,39,105,37
2360,36,48,111,43
2370,36,37,109,33
2380,36,42,112,37
2390,36,30,101,29
2400,36,44,116,37
2410,36,21,109,19
2420,36,58,106,54
2430,36,22,104,21
2440,36,47,99,47
2450,36,26,92,28
2460,36,18,114,15
2470,36,30,115,26
2480,36,38,115,33
2490,36,40,116,34
2500,36,41,99,41
