381,4.1960,6760
382,4.4207,6297
383,4.3796,7341
384,4.3491,7228
385,4.2328,5944
386,4.4217,7444
387,4.3034,6859
388,4.1914,6870
389,4.3370,5017
390,4.3739,7203
391,4.4411,7543
392,4.0203,6316
393,4.6805,7462
394,4.1895,6704
395,4.3055,6671
396,4.2383,6373
397,4.3822,7410
398,4.2411,7083
399,4.1733,6866
400,4.1662,6866
401,4.5333,7227
402,4.3721,6861
403,4.3473,7051
404,4.2435,7383
405,4.2961,6830
406,4.1740,7138
407,4.3026,6675
408,4.0569,6001
409,4.1852,6359
410,4.5713,6706
411,4.4725,7353
412,4.1669,7669
413,4.3183,7786
414,3.9405,6314
415,4.2456,6286
416,4.2399,5032
417,4.1778,7041
418,4.1458,6440
419,4.2622,6667
420,4.2002,6879
421,4.4968,7291
422,4.2630,6641
423,4.4028,7241
424,4.2348,7209
425,4.2026,6924
426,4.1829,7025
427,4.0400,6319
428,4.4653,6928
429,4.1917,5929
430,4.1078,6107
431,4.2841,7122
432,4.2175,6819
433,4.1143,7161
434,4.1720,5659
435,4.0319,4920
436,4.1120,5925
437,4.2445,6682
438,4.3807,7185
439,4.1078,6509
440,4.3300,7135
441,4.2371,7285
442,4.2659,7247
443,4.1242,6422
444,4.4119,7036
445,4.3070,6539
446,4.2634,6321
447,4.1639,5230
448,4.1477,6990
449,4.1357,5776
450,4.0943,6593
451,4.1820,7080
452,4.3745,7197
453,3.8977,5459
454,4.0192,6552
455,4.2845,7609
456,4.3200,7289
457,4.3292,7011
458,4.3001,7671
459,4.3473,6891
460,4.1971,6412
461,4.1876,6997
462,4.3664,6267
463,4.1116,7217
464,4.4213,6710
465,4.3110,7798
466,4.3606,7493
467,4.1868,7502
468,4.1894,7249
469,4.2461,7291
470,4.2197,7221
471,4.3090,7650
472,4.1160,7148
473,4.3455,7025
474,4.0773,6432
475,4.2763,5779
476,4.4698,6698
477,4.1415,6863
478,4.2475,7408
479,4.2375,7350
480,4.2304,6901
481,4.1134,5784
482,3.9493,7232
483,4.2759,7233
484,4.3699,7544
485,4.0222,5950
486,4.0441,6926
487,4.1855,7416
488,4.2425,6926
489,4.2189,7220
490,4.3923,7152
491,4.2995,5519
492,4.1821,6859
493,3.8550,5715
494,4.0497,7371
495,4.0654,6500
496,4.2154,6813
497,4.1349,6438
498,3.9424,5604
499,4.2023,7325
500,4.0740,6389
501,3.9615,7267
502,4.2499,7458
503,4.3072,7417
504,4.1279,6964
505,4.3414,7290
506,4.2617,7669
507,4.1900,7418
508,4.0440,6108
509,4.2608,7229
510,4.1957,6735
511,4.3924,7292
512,4.0404,5409
513,4.1589,7670
514,4.2334,7437
515,4.1088,6474
516,4.1429,7491
517,4.3104,7291
518,4.0308,6905
519,3.9997,7147
520,4.2680,6687
521,4.1212,6386
522,4.2037,7524
523,4.1008,6727
524,3.9940,6650
525,3.9665,7453
526,4.1254,7097
527,4.0857,7289
528,3.9711,6392
529,3.9995,6245
530,3.9748,6360
531,4.1678,7030
532,3.9511,7311
533,4.0516,7075
534,3.9323,6774
535,3.9845,6027
536,4.0783,5755
537,3.8948,5760
538,4.2227,7478
539,4.0721,7671
540,4.2686,7317
541,3.9906,5626
542,4.0544,6284
543,3.9167,6303
544,4.0956,7668
545,4.0311,6552
546,4.0649,6661
547,3.9669,6676
548,4.1591,7125
549,3.9763,6938
550,4.0828,5652
551,4.0312,6904
552,4.1057,7041
553,4.0756,6629
554,4.0927,5697
555,4.2589,7797
556,4.0041,6820
557,3.9389,6160
558,4.2657,7164
559,3.9835,6604
560,3.9096,5906
561,3.9549,5288
562,3.9800,7671
563,4.1370,7122
564,3.9343,6406
565,4.0306,6509
566,4.0792,7228
567,4.0923,7672
568,4.0843,7543
569,4.4624,7542
570,4.2053,7501
571,3.8935,7253
572,4.0693,6111
573,4.0270,6745
574,3.9606,5100
575,4.0550,6503
576,3.9296,6432
577,3.9894,5968
578,4.1913,8050
579,4.2625,7269
580,4.2273,6867
581,4.1341,6741
582,4.1712,7415
583,4.0058,6761
584,4.0413,6991
585,3.9483,6407
586,4.0068,7420
587,4.0812,6945
588,3.9015,6803
589,4.1511,7416
590,3.8513,5378
591,4.3247,7114
592,4.0107,7162
593,4.0422,7019
594,4.0749,6129
595,4.0301,7022
596,3.8211,6062
597,4.0626,7418
598,4.0854,4837
599,3.9688,6932
600,4.2054,7146
601,4.0374,7394
602,4.4373,6951
603,4.1183,6868
604,3.8852,6388
605,3.8964,6602
606,3.9870,6572
607,3.8921,6016
608,4.1505,7418
609,3.9725,6737
610,4.0336,6752
611,3.8641,7119
612,4.0669,7262
613,4.1644,6673
614,3.9097,6511
615,3.9026,5635
616,3.9992,6853
617,3.9023,5941
